product_id,product_name,product_category,list_price,sale_price
111a,Gooseberry (Amla),fresh fruits,130,130
1220,Parachute Advanced Aloe Vera Coconut Hair Oil,hair and body oils,39,39
137b,French Beans (Phaliyaan),fresh vegetables,16,16
139c,Washington Apple (Seb),fresh fruits,260,260
1.30E+07,Lux Saffron Glow Soap ,soaps and bodywash,108,108
1432,Nestle A+ Slim Skimmed Milk ,milk,80,80
146a,Cornitos Tikka Masala Nacho Crisps,chips nachos and popcorn,35,35
173c,Parachute Pure Coconut Oil ,hair and body oils,39,39
176f,Britannia Nutri Choice Hi-Fibre Digestive Biscuits,biscuits,159,159
17bf,Tropicana Pineapple Delight Juice (Tetra Pack),soft drinks-juice and soda,100,100
184e,Tata Iodised Crystal Salt,salt,18,18
1874,Snickers Almond Chocolate,chocolate,25,25
1880,Bajji Green Chilli (Pakora Mirch),fresh vegetables,69,69
188e,Nilgiris Premium Long Grain Pulao Rice,rice_rice_products,75,75
1963,Nilgiris Premium Methi Seeds,masala and spice,25,25
1a9f,Nilgiris Premium Green Chana,pulses and other grains,78,78
1aac,Nivea Oil Control Face Wash for Men,face wash,175,175
1ade,Nilgiris Premium Groundnuts,pulses and other grains,35,27
1c15,Britannia Treat Crazy Pineapple Cream Biscuits ,biscuits,30,30
1c3d,Baby Corn (Makkai),fresh vegetables,90,90
1d70,Nilgiris Premium Fine Sooji ,atta and other flours,65,65
1df8,Garnier Skin Naturals Light Complete Fairness Face Wash,face wash,170,170
1e5e,Chinese Cabbage (Patha Gobi),fresh vegetables,60,60
200b,Fogg Nepoleon Fragrance Body Spray for Men ,deodorants,230,230
2249,Nilgiris Premium Black Masoor Dal,pulses and other grains,43,43
237a,Parle Milano Center Filled Mixed Berries Cookies,biscuits,35,35
2406,Yellow Pumpkin (Kaddoo),fresh vegetables,44,44
2499,Brooke Bond 3 Roses Tea,tea,50,50
251d,Nilgiris Premium American Green Peas,pulses and other grains,27,27
25bd,Organic India Tulsi Masala Flavoured Tea,tea,230,230
263e,Palmolive Thermal Spa Body Gel,soaps and bodywash,180,180
27c3,Green Pumpkin (Kaddoo),fresh vegetables,38,38
28d5,Colgate Strong Teeth Toothpaste Combo,toothpaste,184,184
2a73,Nilgiris Premium Cloves,masala and spice,169,150
2bc0,Snickers Chocolate,chocolate,35,35
2e2e,Britannia Nutrichoice Simply Lite Crackers ,biscuits,15,15
2ed1,Nilgiris Delight Toned Milk,milk,20,20
3111,Cherry,fresh fruits,495,495
3128,Paper Boat Jaljeera Juice (Tetra Pack),soft drinks-juice and soda,30,30
31c8,Nilgiris Premium Small Sago,pulses and other grains,62,62
32f7,Parle-G Glucose Biscuits ,biscuits,20,20
35af,Organic India Tulsi Ginger Tea (Tea Bags),tea,148,148
3690,Coca-Cola Diet Coke (Can),soft drinks-juice and soda,45,45
37ab,Yellow Capsicum (Shimla Mirch),fresh vegetables,250,250
3995,Nilgiris Premium Fried Gram - Split,pulses and other grains,65,65
3a6a,Yellow Zucchini,fresh vegetables,60,60
3a70,Parle Hide & Seek Black Bourbon Choco Crème Sandwich Biscuits,biscuits,30,30
3b82,Purple Brinjal (Baingan),fresh vegetables,110,110
3d5a,B Natural Cloudy Apple Juice (Tetra Pack),soft drinks-juice and soda,99,99
3.00E+09,Nilgiris Premium Nylon Sago - Grain,pulses and other grains,24,24
3f4c,Dabur Squeezy Honey - Buy 1 Get 1 Free,honey,280,280
3f89,Muskmelon (Kharbooja),fresh fruits,45,45
4012,Sunfeast Marie Light Orange Biscuits ,biscuits,15,15
4071,Tata Lite Low Sodium Iodised Salt,salt,35,35
408f,Nilgiris Tea Crackers,biscuits,35,35
4243,Medium Onion (Pyaaz),fresh vegetables,130,130
430f,Cherry Tomato (Tamatar),fresh vegetables,44,44
4323,Cornitos Sizzlin Jalapeno Nachos,chips nachos and popcorn,85,82
4431,Britannia Marie Gold Biscuits ,biscuits,10,10
44a8,Nilgiris Premium Chana Dal - Split,pulses and other grains,95,95
4796,Nilgiris Premium Diamond White Sugar,sugar,13,13
486a,Tropicana Slice Mango Juice (Tetra Pack),soft drinks-juice and soda,65,65
4873,Schweppes Indian Tonic Water (Can),soft drinks-juice and soda,50,37
488d,Sunfeast Bounce Tangy Orange Cream Biscuits ,biscuits,10,10
4925,Spinach (Palak),fresh vegetables,15,15
4ace,Tropicana Pomegranate Delight Juice (Tetra Pack),soft drinks-juice and soda,110,110
4afc,Cowpea Beans (Phaliyaan),fresh vegetables,60,60
4b18,Dev Snacks Banana Chips,chips nachos and popcorn,85,85
4cc9,Peeled Onion (Pyaaz),fresh vegetables,20,20
4f27,Nilgiris Premium Navratan Dal Mix,pulses and other grains,68,68
4fe4,Robusta Banana (Kela),fresh fruits,98,98
50b5,Small Broad Beans,fresh vegetables,50,50
51b5,Garlic (Lahsun),fresh vegetables,41,41
535c,Nilgiris Premium White Urad Dal,pulses and other grains,27,27
551f,Nilgiris Premium Black Jeera Seeds,masala and spice,33,33
559f,Banana Flower (Kele Ka Phool),fresh vegetables,20,20
5744,Colgate Herbal Toothpaste,toothpaste,88,88
58a5,Minute Maid Pulpy Mosambi Juice (Bottle),soft drinks-juice and soda,75,75
595c,Organic India Original Tulsi Tea (Tea Bags),tea,148,148
5a9d,Nilgiris Premium White Urad Dal - Split,pulses and other grains,116,116
5ce1,Kinnow Orange (Santara),fresh fruits,53,53
5.00E+70,Palmolive Aroma Absolute Relax Body Gel,soaps and bodywash,180,180
